Num1,Num2,Num3,Num4,Num5,
3.00,3554966.00,0.60,61.00,2.00,
3.00,3214884.00,0.40,28.00,2.00,
2.00,3035010.00,0.50,95.00,3.00,
3.00,2225755.00,0.20,24.00,2.00,
2.00,3165662.00,0.50,81.00,2.00,
1.00,3318110.00,0.40,93.00,1.00,
3.00,1064704.00,0.30,93.00,2.00,
1.00,3103628.00,0.70,56.00,2.00,
2.00,1686792.00,0.80,41.00,1.00,
3.00,1001339.00,0.40,51.00,1.00,
3.00,2711534.00,0.40,86.00,2.00,
1.00,2487849.00,0.30,99.00,1.00,
3.00,3538435.00,0.60,86.00,3.00,
1.00,2712979.00,0.50,96.00,2.00,
1.00,3516901.00,0.70,90.00,1.00,
1.00,2197136.00,0.80,22.00,2.00,
1.00,3788999.00,0.60,69.00,3.00,
1.00,1121630.00,0.20,83.00,2.00,
1.00,1422889.00,0.10,45.00,3.00,
1.00,3619089.00,0.40,10.00,1.00,
3.00,1880659.00,0.40,92.00,3.00,
2.00,3202455.00,0.60,72.00,3.00,
2.00,1755580.00,0.90,55.00,1.00,
3.00,3274575.00,0.60,62.00,1.00,
3.00,2531572.00,1.00,31.00,2.00,
2.00,1113106.00,0.40,65.00,2.00,
1.00,3332664.00,0.10,93.00,2.00,
1.00,3228085.00,0.40,63.00,2.00,
3.00,1298607.00,1.00,23.00,1.00,
2.00,1188047.00,0.10,100.00,3.00,
2.00,3219244.00,0.50,98.00,3.00,
1.00,3122396.00,0.10,56.00,3.00,
3.00,1058849.00,1.00,19.00,1.00,
1.00,2871657.00,0.20,46.00,2.00,
3.00,1404351.00,0.80,40.00,3.00,
3.00,2509585.00,0.60,50.00,3.00,
1.00,2746558.00,0.10,56.00,3.00,
2.00,2821727.00,0.60,17.00,3.00,
2.00,2334082.00,0.20,12.00,3.00,
3.00,2639689.00,0.60,84.00,1.00,
1.00,3539783.00,0.90,61.00,3.00,
3.00,2006028.00,0.20,79.00,2.00,
2.00,2279267.00,0.60,27.00,2.00,
2.00,3937761.00,0.60,53.00,3.00,
2.00,2409574.00,0.30,39.00,3.00,
1.00,3547717.00,0.30,95.00,2.00,
1.00,1354136.00,0.60,56.00,2.00,
1.00,2264939.00,0.60,53.00,2.00,
2.00,1029041.00,0.80,31.00,1.00,
1.00,1073941.00,0.50,10.00,1.00,
2.00,2959173.00,0.90,41.00,1.00,
2.00,2326182.00,0.90,29.00,1.00,
3.00,3097642.00,0.20,88.00,2.00,
3.00,1575497.00,0.30,91.00,3.00,
3.00,2779510.00,0.20,81.00,2.00,
3.00,1371518.00,0.50,91.00,1.00,
2.00,1710309.00,0.40,57.00,2.00,
2.00,2305300.00,0.70,37.00,2.00,
3.00,3025289.00,0.30,95.00,2.00,
3.00,2695107.00,1.00,15.00,2.00,
1.00,3007895.00,0.40,17.00,1.00,
1.00,2148349.00,0.80,85.00,1.00,
3.00,3256675.00,0.20,64.00,3.00,
2.00,1946224.00,0.10,16.00,2.00,
1.00,2808718.00,1.00,94.00,1.00,
1.00,2128123.00,0.40,89.00,3.00,
1.00,1695175.00,0.40,24.00,2.00,
1.00,1241655.00,0.40,62.00,1.00,
2.00,3370479.00,1.00,69.00,3.00,
3.00,1223791.00,0.30,99.00,1.00,
3.00,2730401.00,0.60,28.00,3.00,
2.00,1795046.00,0.70,84.00,2.00,
2.00,1709450.00,0.60,78.00,1.00,
3.00,3171653.00,0.10,84.00,2.00,
2.00,2676492.00,1.00,81.00,3.00,
1.00,3597239.00,0.90,65.00,1.00,
2.00,2613563.00,0.60,94.00,1.00,
3.00,3534292.00,0.50,61.00,2.00,
1.00,3785994.00,0.60,30.00,1.00,
2.00,3310510.00,0.70,25.00,3.00,
1.00,3408843.00,0.30,77.00,1.00,
2.00,2686820.00,0.50,73.00,3.00,
3.00,1330985.00,0.40,67.00,1.00,
2.00,3934219.00,1.00,48.00,3.00,
1.00,2556301.00,0.70,24.00,1.00,
3.00,1880214.00,0.40,54.00,1.00,
3.00,1197748.00,0.10,27.00,3.00,
1.00,1082381.00,0.30,18.00,2.00,
3.00,3701127.00,0.80,82.00,2.00,
2.00,2493604.00,0.90,74.00,3.00,
3.00,2801219.00,0.60,43.00,3.00,
2.00,1638436.00,0.90,85.00,2.00,
1.00,3055894.00,0.80,79.00,3.00,
3.00,2599189.00,0.30,28.00,3.00,
1.00,3263131.00,0.60,94.00,3.00,
2.00,3302033.00,0.20,71.00,1.00,
3.00,3657966.00,0.50,69.00,2.00,
2.00,3437940.00,0.30,83.00,3.00,
3.00,1290739.00,0.80,89.00,2.00,
2.00,1127289.00,0.40,48.00,1.00,
3.00,2203021.00,0.50,79.00,3.00,
3.00,1467748.00,0.80,44.00,1.00,
3.00,1474036.00,0.40,77.00,1.00,
3.00,3817121.00,0.70,31.00,2.00,
2.00,1747816.00,0.20,68.00,3.00,
2.00,3391283.00,0.50,83.00,2.00,
2.00,2724954.00,0.40,42.00,1.00,
3.00,1611815.00,0.50,78.00,3.00,
1.00,1775297.00,0.80,18.00,3.00,
1.00,3967611.00,0.90,27.00,1.00,
3.00,1917806.00,0.20,15.00,1.00,
2.00,3222048.00,0.60,62.00,3.00,
3.00,1921280.00,0.70,81.00,1.00,
1.00,3564186.00,0.40,21.00,2.00,
3.00,2857757.00,0.20,48.00,2.00,
3.00,3654796.00,0.60,33.00,3.00,
1.00,3982644.00,0.30,81.00,1.00,
1.00,2559885.00,0.80,52.00,2.00,
3.00,1192644.00,0.30,41.00,1.00,
1.00,2135139.00,0.10,26.00,1.00,
2.00,1461072.00,0.70,12.00,1.00,
1.00,1709903.00,0.80,46.00,3.00,
3.00,3316788.00,0.80,20.00,1.00,
3.00,1531635.00,0.30,95.00,3.00,
3.00,3265198.00,0.40,97.00,2.00,
2.00,2779450.00,0.50,43.00,2.00,
2.00,3595142.00,0.70,95.00,2.00,
2.00,1381978.00,0.60,34.00,2.00,
2.00,3154280.00,0.40,33.00,2.00,
2.00,2387111.00,0.60,54.00,2.00,
3.00,2733735.00,0.20,93.00,1.00,
3.00,1074495.00,0.60,54.00,1.00,
2.00,1885028.00,0.80,92.00,1.00,
3.00,2544435.00,0.20,12.00,2.00,
2.00,1471698.00,0.10,37.00,3.00,
2.00,3660307.00,0.70,41.00,1.00,
2.00,2471325.00,0.70,41.00,3.00,
1.00,2443547.00,0.80,48.00,2.00,
3.00,2624788.00,0.60,57.00,1.00,
2.00,3379775.00,0.30,12.00,3.00,
2.00,1472506.00,0.60,97.00,2.00,
1.00,2708205.00,0.90,59.00,2.00,
2.00,2470181.00,0.80,11.00,1.00,
1.00,2150947.00,0.90,37.00,3.00,
3.00,1011744.00,0.50,91.00,3.00,
1.00,2242436.00,0.20,45.00,2.00,
2.00,1153992.00,0.40,12.00,3.00,
2.00,3273372.00,0.50,77.00,3.00,
1.00,2067369.00,0.20,11.00,1.00,
3.00,2911015.00,0.50,65.00,2.00,
3.00,1311714.00,0.40,25.00,3.00,
2.00,2711493.00,1.00,100.00,3.00,
1.00,3537092.00,0.90,38.00,2.00,
2.00,1298579.00,0.50,36.00,2.00,
1.00,1844402.00,0.20,76.00,3.00,
2.00,1284174.00,0.60,34.00,1.00,
1.00,3161082.00,0.70,27.00,3.00,
1.00,3780163.00,0.20,69.00,2.00,
3.00,1898905.00,0.60,48.00,1.00,
3.00,2859935.00,0.70,34.00,2.00,
1.00,1125516.00,0.60,73.00,3.00,
1.00,1803886.00,0.50,20.00,3.00,
1.00,3648409.00,0.60,25.00,3.00,
2.00,3232408.00,0.70,92.00,3.00,
1.00,1353475.00,0.20,77.00,2.00,
1.00,2759311.00,0.30,20.00,3.00,
2.00,2346469.00,0.20,94.00,1.00,
2.00,2113740.00,0.50,51.00,1.00,
2.00,1740492.00,0.60,41.00,3.00,
1.00,2487375.00,0.80,71.00,2.00,
3.00,2033974.00,0.70,87.00,3.00,
1.00,2757966.00,0.30,43.00,2.00,
2.00,2463467.00,0.40,86.00,1.00,
2.00,2899994.00,0.70,47.00,3.00,
3.00,3216196.00,0.60,55.00,2.00,
2.00,3580923.00,0.70,26.00,1.00,
1.00,2652359.00,0.60,29.00,3.00,
2.00,3113875.00,0.60,35.00,1.00,
1.00,1510843.00,0.80,29.00,2.00,
3.00,3365531.00,0.50,82.00,1.00,
3.00,1573849.00,0.70,66.00,1.00,
1.00,1326708.00,1.00,92.00,3.00,
2.00,1365450.00,0.40,37.00,3.00,
1.00,1943719.00,0.30,66.00,1.00,
2.00,2390911.00,0.20,10.00,3.00,
3.00,2484873.00,0.60,87.00,3.00,
3.00,1448661.00,0.30,21.00,2.00,
2.00,3446805.00,0.60,54.00,2.00,
3.00,1404225.00,0.50,90.00,1.00,
3.00,2362573.00,0.50,19.00,2.00,
3.00,2576545.00,0.70,82.00,1.00,
2.00,1486442.00,0.60,11.00,1.00,
3.00,2133560.00,0.20,19.00,3.00,
3.00,3770448.00,0.40,50.00,3.00,
2.00,3963611.00,0.80,67.00,1.00,
2.00,2967636.00,0.70,18.00,3.00,
1.00,2065968.00,0.80,11.00,3.00,
1.00,2523855.00,0.30,98.00,2.00,
3.00,2839638.00,0.30,22.00,2.00,
1.00,2274986.00,0.30,29.00,3.00,
3.00,1724627.00,0.20,44.00,2.00,
2.00,1392823.00,0.10,70.00,1.00,
3.00,2549310.00,0.10,54.00,3.00,
1.00,1305701.00,0.20,19.00,2.00,
1.00,1702874.00,0.90,96.00,3.00,
3.00,3297888.00,0.30,66.00,1.00,
1.00,1946080.00,0.80,41.00,1.00,
2.00,1730579.00,0.90,31.00,2.00,
3.00,3549925.00,0.90,82.00,3.00,
1.00,1438910.00,0.90,99.00,3.00,
1.00,1110521.00,0.10,41.00,1.00,
1.00,1962697.00,0.60,54.00,2.00,
3.00,1151088.00,0.20,87.00,1.00,
1.00,3139640.00,0.40,16.00,3.00,
3.00,1228648.00,0.40,61.00,1.00,
1.00,3939127.00,0.20,20.00,3.00,
1.00,3026477.00,0.90,23.00,3.00,
1.00,1747432.00,0.60,11.00,3.00,
3.00,2122765.00,0.80,83.00,3.00,
1.00,3137140.00,0.40,64.00,2.00,
2.00,1980389.00,1.00,83.00,1.00,
3.00,3677701.00,0.70,47.00,3.00,
2.00,1849362.00,0.10,79.00,2.00,
3.00,2258922.00,0.90,11.00,1.00,
3.00,2520216.00,0.30,49.00,3.00,
2.00,1263730.00,0.40,93.00,1.00,
3.00,2045771.00,0.20,59.00,3.00,
3.00,2306890.00,0.70,79.00,2.00,
3.00,3942124.00,0.50,73.00,2.00,
1.00,2070423.00,0.30,87.00,3.00,
2.00,1873792.00,0.70,26.00,2.00,
2.00,2246682.00,0.90,14.00,2.00,
1.00,2276045.00,0.20,28.00,1.00,
2.00,2035732.00,0.60,69.00,2.00,
1.00,2999151.00,0.80,69.00,3.00,
2.00,2821528.00,0.50,18.00,3.00,
3.00,2699847.00,0.50,53.00,2.00,
2.00,3037754.00,0.40,73.00,1.00,
2.00,2817660.00,0.90,41.00,3.00,
2.00,2995148.00,0.10,78.00,2.00,
3.00,3318803.00,0.20,35.00,3.00,
1.00,3990164.00,0.90,79.00,3.00,
1.00,2921994.00,0.20,57.00,1.00,
2.00,3748038.00,0.20,48.00,3.00,
3.00,3167995.00,0.30,53.00,1.00,
3.00,2340706.00,0.40,84.00,3.00,
2.00,3962450.00,0.20,44.00,1.00,
2.00,1633294.00,0.70,97.00,1.00,
2.00,2122462.00,0.20,92.00,3.00,
3.00,3499678.00,0.70,23.00,2.00,
3.00,2377779.00,0.80,30.00,3.00,
2.00,1812048.00,0.30,24.00,2.00,
3.00,1750005.00,0.70,93.00,1.00,
1.00,1030153.00,0.70,83.00,2.00,
3.00,3263114.00,0.20,82.00,2.00,
2.00,1660170.00,0.10,65.00,1.00,
1.00,1780331.00,0.70,82.00,2.00,
1.00,3390528.00,0.90,95.00,2.00,
3.00,2124932.00,0.50,70.00,2.00,
2.00,1558383.00,0.80,96.00,2.00,
3.00,1195224.00,0.70,75.00,2.00,
2.00,2093221.00,0.30,92.00,1.00,
1.00,1486187.00,0.90,92.00,3.00,
1.00,1739591.00,0.40,40.00,1.00,
2.00,3385403.00,0.40,72.00,1.00,
1.00,3755827.00,0.90,60.00,1.00,
3.00,1346846.00,0.90,14.00,2.00,
1.00,1119885.00,0.30,16.00,3.00,
3.00,3407564.00,0.60,58.00,2.00,
1.00,1667865.00,1.00,71.00,2.00,
2.00,3974557.00,0.80,20.00,2.00,
1.00,2063020.00,0.30,33.00,1.00,
1.00,3085654.00,0.80,36.00,3.00,
1.00,3677297.00,0.80,25.00,1.00,
3.00,1613627.00,0.60,39.00,3.00,
1.00,2753441.00,0.80,17.00,3.00,
2.00,1992459.00,0.10,24.00,1.00,
2.00,1345923.00,0.60,59.00,3.00,
1.00,1887876.00,0.80,95.00,3.00,
2.00,3650979.00,0.30,98.00,3.00,
3.00,1991599.00,0.80,61.00,2.00,
2.00,1288314.00,0.20,21.00,1.00,
2.00,3813262.00,0.60,30.00,2.00,
2.00,3934499.00,0.90,59.00,1.00,
2.00,1642104.00,0.70,85.00,3.00,
2.00,1901277.00,0.90,59.00,2.00,
3.00,2951296.00,0.60,65.00,1.00,
2.00,2757377.00,0.60,79.00,3.00,
1.00,3859190.00,0.80,83.00,2.00,
3.00,2308397.00,0.90,98.00,3.00,
1.00,2703979.00,0.40,89.00,3.00,
1.00,1322556.00,0.30,49.00,2.00,
1.00,2287124.00,0.70,91.00,1.00,
2.00,3834194.00,0.30,30.00,2.00,
2.00,3769160.00,0.80,52.00,1.00,
2.00,3496175.00,0.60,16.00,1.00,
3.00,2375314.00,0.50,41.00,3.00,
3.00,1090555.00,0.90,46.00,3.00,
2.00,2869147.00,0.60,95.00,3.00,
3.00,1412699.00,0.30,59.00,3.00,
3.00,1325121.00,0.40,53.00,3.00,
2.00,3007573.00,0.50,48.00,1.00,
2.00,1257679.00,0.30,71.00,3.00,
1.00,3349080.00,0.30,95.00,1.00,
1.00,2359836.00,0.20,22.00,2.00,
1.00,2337868.00,0.30,22.00,2.00,
1.00,3489359.00,0.80,99.00,2.00,
1.00,3436900.00,0.30,75.00,1.00,
3.00,2252001.00,0.40,58.00,2.00,
2.00,2433242.00,0.70,96.00,2.00,
2.00,3131170.00,0.40,63.00,1.00,
3.00,3328884.00,0.10,80.00,3.00,
3.00,2065383.00,0.70,26.00,1.00,
1.00,2948236.00,0.10,37.00,3.00,
1.00,3035446.00,0.70,34.00,1.00,
1.00,3515438.00,0.50,18.00,3.00,
1.00,3462482.00,0.30,76.00,1.00,
2.00,2671695.00,0.20,55.00,2.00,
2.00,3386254.00,0.50,40.00,2.00,
2.00,2330657.00,1.00,78.00,3.00,
3.00,2075302.00,0.20,36.00,3.00,
1.00,1975275.00,0.30,81.00,3.00,
2.00,3152597.00,0.40,28.00,3.00,
2.00,2295683.00,0.30,85.00,2.00,
1.00,2602030.00,0.60,88.00,1.00,
1.00,2715846.00,0.80,98.00,2.00,
3.00,2669975.00,0.30,100.00,2.00,
3.00,3127372.00,1.00,71.00,3.00,
2.00,3604037.00,0.40,39.00,3.00,
2.00,3945438.00,1.00,55.00,3.00,
2.00,1043548.00,0.30,97.00,1.00,
3.00,3060477.00,0.40,88.00,2.00,
3.00,3623290.00,0.60,54.00,1.00,
3.00,3400833.00,1.00,24.00,1.00,
2.00,1668471.00,0.50,26.00,3.00,
3.00,2398496.00,0.20,45.00,1.00,
1.00,1835183.00,0.50,67.00,2.00,
1.00,1467444.00,0.60,59.00,2.00,
1.00,1723678.00,0.90,59.00,1.00,
3.00,1264323.00,0.40,59.00,1.00,
1.00,3351037.00,0.40,92.00,1.00,
2.00,3692604.00,1.00,68.00,1.00,
3.00,1818837.00,0.60,63.00,3.00,
2.00,2114045.00,0.70,53.00,3.00,
3.00,1738465.00,0.40,54.00,2.00,
1.00,3928484.00,0.40,50.00,1.00,
1.00,3407636.00,0.40,53.00,2.00,
1.00,3514891.00,0.70,34.00,2.00,
2.00,3591765.00,0.60,86.00,2.00,
3.00,2531920.00,0.20,49.00,2.00,
3.00,1964095.00,0.30,31.00,3.00,
2.00,3738598.00,0.20,55.00,1.00,
3.00,3561412.00,0.50,87.00,3.00,
2.00,1740450.00,0.70,31.00,2.00,
1.00,3532019.00,1.00,38.00,3.00,
1.00,1036662.00,0.40,21.00,3.00,
3.00,2149530.00,0.10,46.00,1.00,
1.00,1746329.00,0.90,80.00,3.00,
2.00,2637961.00,0.30,28.00,1.00,
3.00,1683467.00,0.50,35.00,2.00,
1.00,2691313.00,0.20,24.00,2.00,
2.00,3518740.00,0.30,62.00,1.00,
1.00,1556031.00,0.10,84.00,1.00,
2.00,1932815.00,0.50,31.00,1.00,
3.00,3398546.00,0.10,83.00,3.00,
2.00,1823995.00,0.50,19.00,1.00,
2.00,2732911.00,0.80,33.00,2.00,
3.00,1944407.00,0.10,80.00,3.00,
3.00,2258425.00,0.90,94.00,2.00,
3.00,3670857.00,0.50,26.00,2.00,
2.00,2380776.00,0.40,100.00,1.00,
3.00,1363484.00,0.10,36.00,2.00,
3.00,3120907.00,0.70,37.00,1.00,
1.00,2072096.00,0.90,98.00,2.00,
3.00,3587168.00,0.30,46.00,3.00,
3.00,2809761.00,0.80,56.00,1.00,
1.00,3975480.00,0.50,52.00,3.00,
2.00,2597926.00,0.70,90.00,1.00,
3.00,2458772.00,0.20,26.00,2.00,
3.00,2963221.00,0.10,46.00,3.00,
1.00,2184091.00,0.60,53.00,2.00,
2.00,1050583.00,0.50,32.00,3.00,
2.00,2092517.00,0.90,67.00,3.00,
3.00,3167792.00,0.30,53.00,3.00,
3.00,2868434.00,0.40,30.00,3.00,
3.00,3397674.00,0.50,72.00,3.00,
3.00,2782122.00,0.70,55.00,1.00,
1.00,1421864.00,0.50,72.00,3.00,
1.00,1791106.00,0.20,94.00,2.00,
2.00,2757709.00,0.50,80.00,2.00,
2.00,1714701.00,0.50,93.00,3.00,
3.00,3788566.00,0.80,67.00,3.00,
2.00,3759006.00,0.50,86.00,2.00,
3.00,2576105.00,0.60,71.00,2.00,
3.00,2889017.00,0.50,90.00,3.00,
3.00,2153738.00,0.80,42.00,1.00,
1.00,3769296.00,0.10,69.00,3.00,
2.00,3267767.00,0.70,88.00,1.00,
2.00,3407022.00,0.30,49.00,3.00,
3.00,3058290.00,0.20,23.00,2.00,
3.00,3407391.00,0.90,21.00,1.00,
2.00,1515625.00,0.60,67.00,2.00,
2.00,2341765.00,0.40,47.00,1.00,
1.00,3849117.00,0.50,70.00,2.00,
1.00,2031853.00,0.40,80.00,3.00,
2.00,2804294.00,0.70,66.00,2.00,
3.00,1735657.00,0.30,40.00,3.00,
2.00,2835479.00,0.60,89.00,3.00,
2.00,2218109.00,0.70,47.00,1.00,
1.00,3503104.00,0.10,30.00,1.00,
1.00,1629434.00,0.30,64.00,2.00,
3.00,3837031.00,0.60,40.00,2.00,
2.00,1646715.00,0.40,25.00,1.00,
2.00,3529595.00,0.60,10.00,3.00,
1.00,2368446.00,0.30,80.00,1.00,
2.00,2267981.00,0.40,71.00,2.00,
2.00,3961933.00,0.50,33.00,2.00,
1.00,1241995.00,0.10,34.00,2.00,
2.00,3999025.00,0.70,23.00,1.00,
1.00,1056552.00,0.50,13.00,2.00,
2.00,3756176.00,0.80,76.00,2.00,
2.00,1289857.00,0.10,81.00,3.00,
2.00,1767010.00,0.70,58.00,3.00,
3.00,3685501.00,0.80,88.00,3.00,
2.00,2624796.00,0.50,93.00,3.00,
3.00,3050536.00,0.90,11.00,2.00,
1.00,1199458.00,0.70,38.00,2.00,
2.00,3085550.00,0.40,43.00,2.00,
2.00,2256538.00,0.40,65.00,3.00,
1.00,1784634.00,0.60,65.00,2.00,
3.00,1903219.00,0.50,57.00,1.00,
2.00,2424065.00,0.70,53.00,3.00,
2.00,3714519.00,0.70,91.00,3.00,
3.00,2991066.00,0.50,62.00,3.00,
3.00,1935671.00,0.80,46.00,2.00,
2.00,3729105.00,0.10,84.00,3.00,
2.00,3365761.00,0.60,19.00,2.00,
1.00,1687729.00,0.30,37.00,2.00,
3.00,1428488.00,1.00,71.00,3.00,
1.00,1001471.00,0.90,63.00,2.00,
3.00,3875527.00,0.10,12.00,3.00,
3.00,2461689.00,0.80,68.00,3.00,
2.00,3508110.00,1.00,24.00,1.00,
2.00,1199837.00,0.80,77.00,3.00,
3.00,3658601.00,0.70,53.00,3.00,
3.00,1196082.00,0.80,78.00,2.00,
3.00,3935550.00,0.70,70.00,2.00,
1.00,3383658.00,0.50,49.00,3.00,
2.00,1070951.00,1.00,69.00,3.00,
2.00,3486363.00,0.60,62.00,1.00,
1.00,3742129.00,0.70,92.00,2.00,
2.00,3308962.00,0.90,37.00,2.00,
1.00,1160811.00,0.30,48.00,1.00,
3.00,2508989.00,0.90,98.00,3.00,
3.00,1227848.00,0.10,87.00,1.00,
3.00,1141143.00,1.00,14.00,1.00,
3.00,2046898.00,0.40,29.00,3.00,
2.00,2212076.00,0.30,38.00,1.00,
3.00,2341078.00,0.90,15.00,1.00,
2.00,2454221.00,0.60,11.00,3.00,
2.00,1500220.00,0.30,10.00,3.00,
1.00,3088863.00,0.60,86.00,3.00,
3.00,1899202.00,0.80,41.00,1.00,
1.00,1298781.00,0.30,83.00,2.00,
1.00,2230821.00,0.90,73.00,3.00,
2.00,1837701.00,0.20,40.00,2.00,
1.00,2135260.00,0.90,76.00,1.00,
2.00,2802468.00,0.60,55.00,3.00,
1.00,2780930.00,0.10,52.00,1.00,
2.00,1187860.00,0.20,36.00,3.00,
3.00,3231083.00,0.10,50.00,1.00,
2.00,2041747.00,0.20,95.00,2.00,
1.00,3846283.00,0.20,77.00,2.00,
3.00,3409217.00,0.50,100.00,2.00,
1.00,2997561.00,0.60,38.00,2.00,
3.00,2296886.00,0.70,56.00,1.00,
2.00,2743162.00,0.80,78.00,3.00,
1.00,3478326.00,0.90,80.00,3.00,
3.00,3360393.00,0.60,82.00,3.00,
1.00,1105046.00,0.90,50.00,2.00,
1.00,1603550.00,0.70,57.00,3.00,
2.00,1016810.00,0.70,99.00,3.00,
2.00,3953088.00,0.40,96.00,1.00,
2.00,2582941.00,0.10,77.00,3.00,
1.00,1792514.00,0.70,74.00,2.00,
3.00,3193471.00,0.50,52.00,3.00,
1.00,3938697.00,0.40,59.00,1.00,
1.00,1676250.00,0.20,86.00,1.00,
1.00,3189183.00,0.40,51.00,2.00,
2.00,1592223.00,0.20,93.00,3.00,
1.00,2527440.00,0.90,76.00,3.00,
2.00,2196923.00,0.90,92.00,1.00,
2.00,3325170.00,0.50,33.00,1.00,
2.00,2816395.00,0.50,61.00,1.00,
1.00,3319822.00,0.90,98.00,2.00,
3.00,2045854.00,0.40,35.00,1.00,
3.00,3255488.00,0.80,53.00,1.00,
3.00,3858044.00,0.40,94.00,1.00,
1.00,3496985.00,0.40,94.00,1.00,
1.00,2013352.00,0.70,83.00,3.00,
1.00,1697844.00,0.80,55.00,3.00,
1.00,2286235.00,0.70,86.00,3.00,
3.00,3004431.00,0.40,90.00,1.00,
1.00,3949140.00,0.20,30.00,2.00,
1.00,3297189.00,0.80,18.00,2.00,
1.00,1140536.00,0.30,83.00,2.00,
1.00,1384114.00,0.40,84.00,2.00,
3.00,3644561.00,0.30,68.00,3.00,
2.00,1340252.00,0.50,85.00,1.00,
1.00,1567143.00,0.20,55.00,1.00,
2.00,1439842.00,0.80,78.00,3.00,
2.00,1734759.00,0.40,77.00,3.00,
3.00,2295136.00,0.40,30.00,3.00,
2.00,1116346.00,0.50,20.00,3.00,
1.00,2563135.00,0.90,10.00,3.00,
3.00,1898111.00,0.90,59.00,2.00,
2.00,1495071.00,0.80,93.00,1.00,
2.00,2474193.00,0.90,75.00,2.00,
1.00,2565311.00,0.80,89.00,2.00,
2.00,2549360.00,0.70,93.00,3.00,
1.00,3481126.00,0.30,23.00,3.00,
3.00,1275522.00,0.40,44.00,3.00,
1.00,1273129.00,0.70,30.00,1.00,
3.00,1216666.00,0.10,24.00,1.00,
3.00,3832306.00,1.00,27.00,1.00,
3.00,3160599.00,0.50,72.00,3.00,
3.00,3785998.00,0.60,38.00,1.00,
2.00,3958092.00,0.30,77.00,1.00,
1.00,2462313.00,0.80,69.00,2.00,
3.00,3594727.00,1.00,44.00,2.00,
2.00,2741002.00,0.40,20.00,1.00,
1.00,1018451.00,0.60,91.00,2.00,
3.00,3342864.00,0.10,87.00,1.00,
2.00,3711121.00,1.00,93.00,2.00,
2.00,2729130.00,0.20,72.00,2.00,
3.00,3748590.00,1.00,57.00,1.00,
3.00,2938669.00,0.40,44.00,1.00,
2.00,2067782.00,1.00,15.00,1.00,
3.00,3663702.00,0.40,56.00,1.00,
2.00,3700522.00,0.30,41.00,2.00,
3.00,2054262.00,0.40,50.00,3.00,
1.00,3664864.00,0.10,58.00,3.00,
